prosumer_id,day,chain_type,region_type,vulnerability_index,energy_generated_kwh,energy_demand_kwh,bid_price,market_clearing_price,expected_REC,rec_allocated,fairness_gap,fairness_score,zk_proof_latency_ms,zk_energy_consumption_kwh,centralized_latency_ms,zkLLM_latency_ms,dao_round,governance_adaptivity_alpha,dao_voting_weight,regulatory_flag,compliance_score,anomaly_type
103,279,Cosmos,urban,0.9321769949174092,9.569098652689206,18.138606861041435,65.00796935003099,49.1633906630407,8.612188787420285,8.612188787420285,0.0,1.0,311.94071816098045,0.0008476261015127952,106.74613926234798,907.8036141049439,35,0.4906240933335341,0.3466222067993776,0,1.0,normal
1226,251,Ethereum,urban,0.5118705302746079,24.76089057056705,7.624794325942119,49.47616839961545,48.24580340445523,22.284801513510345,6.099835460753695,0.7262781908407929,0.2737218091592071,451.6746127491356,0.001390890105608172,183.91443833322057,905.5104745379379,19,0.20857163785746252,0.6655889127113508,0,0.2737218091592071,sybil_
861,310,Ethereum,semi-urban,0.8471265341297222,18.189178068752618,14.395201911102909,31.266640196423282,51.08054921422287,16.370260261877355,0.0,0.9999999389136199,6.108638006541156e-08,463.0376376313129,0.001291646954680051,151.0941717574184,796.7687923074806,36,0.14158122298006026,0.9141100043273496,0,6.108638006541156e-08,normal
271,208,Polkadot,urban,0.6158925802966025,10.35024336900757,15.851689399212786,37.0493343173908,50.13992752154774,9.315219032106814,0.0,0.9999998926488053,1.0735119471139143e-07,385.1943948008979,0.0012272512156786593,177.49285417673659,758.2543544647428,38,0.4379616938552673,0.9237497859763426,0,1.0735119471139143e-07,normal
107,321,Ethereum,rural,0.5546018437787377,9.247732960006093,21.870983151181367,46.451966349176665,49.84174171812178,8.322959664005484,0.0,0.9999998798504475,1.2014955252936943e-07,499.5233375938237,0.0015147172111387944,152.55186958432736,817.8129396880279,23,0.48850318748865973,0.3795343980958821,0,1.2014955252936943e-07,normal
72,140,Cosmos,semi-urban,0.6821301334851123,10.648706012483167,23.285819368445033,46.75807472948985,57.78925819476693,9.583835411234851,0.0,0.9999998956576515,1.0434234853917701e-07,348.565850143081,0.0008430686606288914,184.12496112179142,463.56081279127073,4,0.3286849449430394,0.8710761353000886,0,1.0434234853917701e-07,normal
701,280,Polkadot,semi-urban,0.8114911237077608,8.914821239279298,17.15926990182531,42.91852145137209,45.30036200740602,8.02333911535137,0.0,0.9999998753636286,1.2463637144577433e-07,308.53966496149735,0.0012365633985254411,175.16817191443118,500.5330691784784,26,0.4762983890240776,0.25340794046268883,0,1.2463637144577433e-07,normal
21,34,Cosmos,urban,0.6445075044097363,7.578757886186653,15.770986828530638,55.2531327305046,46.32270911074104,6.8208820975679885,6.8208820975679885,0.0,1.0,356.9084863456629,0.0008768851227804385,169.94947732776606,830.3535502652655,15,0.4425684619523078,0.6658190625829932,0,1.0,normal
615,309,Ethereum,semi-urban,0.7972406871917024,16.71981936403585,17.321430912772275,61.0325778778356,52.65356435140066,15.047837427632265,13.85714473021782,0.07912715857102653,0.9208728414289735,428.8823037755287,0.0013025169515062283,151.66053058172258,779.5886219594659,43,0.4391098740449405,0.5464092538075148,0,0.9208728414289735,normal
122,18,Cosmos,urban,0.190465164459513,14.425721665288101,9.97508598074673,27.3815387554459,48.049453112425105,12.98314949875929,0.0,0.9999999229770925,7.702290749644902e-08,371.74803996460065,0.0008503086421880623,140.4302583851637,662.4943067195354,9,0.4572832708763127,0.37777677118814235,0,7.702290749644902e-08,normal
467,57,Cosmos,rural,0.2775165403748011,16.477551225021823,12.204644416144863,57.383076954095635,44.82253748369214,14.82979610251964,9.76371553291589,0.3416149617274941,0.6583850382725058,372.0501681381865,0.000590114343056738,195.39602678034873,527.1088847880429,34,0.3397735387217958,0.7964371864955844,0,0.6583850382725058,normal
215,112,Ethereum,semi-urban,0.22972282158730672,34.766224021546535,10.218812967617904,44.766905460568466,39.02085058520247,31.28960161939188,8.175050374094324,0.7387294599571617,0.26127054004283834,385.37648445840045,0.001281671857593597,146.59260961817054,765.6203522142653,33,0.20667357522515847,0.7488894177646364,0,0.26127054004283834,normal
331,5,Ethereum,semi-urban,0.7983031878145758,18.673615247266785,20.606745465499998,32.9081816865522,47.17773796116143,16.806253722540106,0.0,0.9999999404983432,5.9501656823890414e-08,369.8271717206319,0.0010300111276963007,164.08701785090358,524.078714380399,13,0.11388625729618514,0.8564275435841678,0,5.9501656823890414e-08,normal
459,182,Cosmos,semi-urban,0.08612855885707582,20.215751573583674,13.160481585976742,36.79538304016926,50.74501035237683,18.194176416225307,0.0,0.9999999450373612,5.496263877358132e-08,355.41816302266506,0.0009303479972413354,156.32032933576093,617.8715194339019,7,0.32927152759054235,0.668928655926063,0,5.496263877358132e-08,normal
88,13,Ethereum,semi-urban,0.7958631974417281,14.144433021011341,13.765387298716291,44.77147345399031,48.237879499241394,12.729989718910208,0.0,0.9999999214453473,7.85546526715919e-08,488.6137190532024,0.0013108344715874658,155.91422519138587,661.8786417292349,7,0.4863003401402931,0.28688652453741625,0,7.85546526715919e-08,normal
373,339,Ethereum,urban,0.38904229981452165,35.18658162886227,15.914825740960605,43.994837185274015,49.90808073833333,31.667923465976045,0.0,0.9999999684223069,3.157769312700509e-08,441.70694438826007,0.0006747641166900253,168.82942689186564,619.0663612294575,50,0.22221342570419209,0.6213047943343455,0,3.157769312700509e-08,normal
100,285,Ethereum,rural,0.0795071620173955,18.746069871593214,17.371876458172643,40.46186745488359,45.327086223579904,16.871462884433893,0.0,0.9999999407283204,5.9271679564432134e-08,500.48168798608344,0.0017633371833803444,157.22942222202914,659.920338423296,40,0.35978725019480196,0.2996091369748623,0,5.9271679564432134e-08,normal
872,259,Ethereum,urban,0.42442626152646235,22.236924446044796,24.238586887942738,36.787085753360145,53.20320123796069,20.01323200144032,0.0,0.9999999500330605,4.9966939474899164e-08,509.3768879104485,0.001330643010321387,131.53057754666787,859.1915453451288,17,0.17668633020965352,0.9190356140538846,0,4.9966939474899164e-08,normal
664,90,Ethereum,rural,0.3005023005338513,11.63013295068616,15.500133869855437,68.8516386902943,47.12758860948968,10.467119655617545,10.467119655617545,0.0,1.0,525.8844837855985,0.0012894658432109957,112.44764071809087,727.4524271108735,26,0.11819300528421461,0.6730628781916163,0,1.0,normal
131,104,Polkadot,urban,0.5919521827826496,9.677915612648805,14.4134428646756,50.602056209612144,54.89064201071772,8.710124051383925,0.0,0.9999998851910858,1.148089141533859e-07,342.1544852105398,0.0010074391311048032,162.19228863098655,659.5498060377356,38,0.20133860745282464,0.494393991605552,0,1.148089141533859e-07,normal
662,186,Polkadot,urban,0.47252663309381293,25.901795234714392,21.071420907609863,55.836369127835255,51.271209052376356,23.311615711242954,16.85713672608789,0.27687822192281214,0.7231217780771879,444.75165552971913,0.0011085135804351786,150.4387079503249,741.3047778229217,35,0.41725915800166724,0.2241920379096119,0,0.7231217780771879,normal
309,250,Ethereum,semi-urban,0.2967773910883501,6.6567360652392615,14.688910379596226,59.7881535062889,52.15465674653212,5.991062458715335,5.991062458715335,0.0,1.0,425.51849276346206,0.001049851178906264,141.40740743263046,578.6751191051156,45,0.4834641495505816,0.7006177532198079,0,1.0,normal
770,255,Cosmos,semi-urban,0.8622659444055155,21.54117848848658,10.178707305018786,44.597977998612265,51.54027609520479,19.387060639637923,0.0,0.9999999484192076,5.158079241507352e-08,317.94708800093576,0.0011121929934588776,145.17026085768998,704.6531907670317,4,0.19151262567293986,0.17881797151869977,0,5.158079241507352e-08,normal
344,76,Polkadot,rural,0.40682142484556894,20.96874246974084,4.049558826669992,47.59067101211768,48.838863855730516,18.871868222766757,0.0,0.9999999470110783,5.2988921694918645e-08,442.7997311366154,0.0010582333056850073,149.35473761332807,657.328954685287,16,0.2696692081680442,0.1753327195881077,0,5.2988921694918645e-08,normal
492,108,Cosmos,rural,0.47068999180177873,11.529219830248104,16.844350755811746,51.569899148999504,50.256413739931176,10.376297847223293,10.376297847223293,0.0,1.0,902.5401120427118,0.0008734584033358359,108.73804097722308,703.4948628906338,50,0.15879463933658242,0.1526870205409474,0,1.0,latenc
414,156,Cosmos,rural,0.8466285247524576,13.188019580903344,14.31289207341577,38.99463919187938,48.981896987388076,11.869217622813009,0.0,0.9999999157484556,8.425154440772076e-08,338.6395701785253,0.0008116833985119894,150.73343795869394,652.8552531442239,40,0.4226443919649209,0.9271901493405409,0,8.425154440772076e-08,normal
806,82,Cosmos,rural,0.08905660834402129,15.572581351496352,23.070421172657177,39.2984789908545,55.06284542278657,14.015323216346717,0.0,0.9999999286495279,7.135047208617351e-08,284.7937461500094,0.0006708204117352001,132.41690610029588,667.7760357804591,32,0.2923444761724463,0.5001290710431443,0,7.135047208617351e-08,normal
386,77,Cosmos,semi-urban,0.3898931417777447,10.124130563687899,13.89113623017413,71.00797396416623,43.7614955065241,9.11171750731911,9.11171750731911,0.0,1.0,403.5458216247142,0.0010720019329852773,144.22807337930564,774.9273680044964,24,0.4206828391220533,0.2403616723534411,0,1.0,normal
192,258,Cosmos,urban,0.4028566865283898,11.537144577085797,9.80744461067153,75.4303265329721,57.15925433959626,10.383430119377218,7.845955688537224,0.24437725850606773,0.7556227414939323,296.775730248312,0.0009264696686011131,161.03320169539558,877.8131014750701,20,0.39298659892370325,0.7588708039788047,0,0.7556227414939323,normal
956,127,Cosmos,rural,0.4958256551566834,9.302170390945275,18.840004686151534,34.385971577880206,46.1334488802897,8.371953351850747,0.0,0.9999998805535771,1.1944642286376705e-07,234.29929799367048,0.0009397541962474979,161.92407683413322,711.323676792889,8,0.26529950099715705,0.5011797863861345,0,1.1944642286376705e-07,normal
